id,label,content,copyright,copyright_0,copyright_1,copyright_2,date,daterange_0,daterange_1,decimal-prop,duration,geoname,gnid,image,in_collection,lang,lat,lng,model,model/comment,objecttype,oldnr,person,person_0,person_1,person_2,person_3,person_4,person_5,salsah_comment,signature,tag,tag_0,tag_1,title
2575209,SGV_01F_00028,"Hugger, Paul",,Schweizerische Gesellschaft für Volkskunde (SGV),"Schärer, Thomas","Saini, Pierrine",2009-07-13,,,,171,Chardonne,http://sws.geonames.org/2661214,sgv.dir/images/dummymovie.mp4,SGV_01,dialekt,46.47676,6.8268,"HDV, farbig",4 Kassetten,Filme,,,"Schärer, Thomas","Saini, Pierrine","Grunder, Rahel","Arnheiter, Andreas",,,"Besprochene Filme (online-zugänglich): Die letzten Heimposamenter: Kapitel 21, 22, 23; Le moulin Develey sis à la Quielle: Kapitel 24; Les mineurs de la Presta: Kapitel: 25 ",SGV_01F_00028,"Interview zur SGV-Filmreihe ""Altes und sterbendes Handwerk""",,,Interview mit Paul Hugger
2574902,SGV_01F_00017,,Schweizerische Gesellschaft für Volkskunde (SGV),,,,1962,,,,32 (22),Ruggell,http://sws.geonames.org/3042046,sgv.dir/images/dummymovie.mp4,SGV_01,,47.23799,9.5254,"16mm, schwarz/weiss, stumm",,Filme,9008,,"Heer, Heinrich Hermann","Hugger, Paul",,,,,AH 4 Der Bauer und Handwerker Jakob Büchel stellt aus Weissweidenholz Holzschuhe her.,SGV_01F_00017,AH 04: Beim Holzschuhmacher,,,Beim Holzschuhmacher
2574500,SGV_01F_00027,,,"Schlumpf, Hans-Ulrich",Schweizerische Gesellschaft für Volkskunde (SGV),,1987,,,,93,Bezirk Andelfingen,http://sws.geonames.org/2661751,sgv.dir/images/2013-03-22_12-50-05.mp4,SGV_01,dialekt,47.61328,8.68124,"16mm, farbig, Lichtton",,Filme,9818 V,,"Schlumpf, Hans-Ulrich","Corradi, Pio",,,,,"Der Film führt die Technik des Bleisatzes in zwei Zeitungsdruckereien vor. Eine dieser Druckereien wird auf Computersatz («kalter Satz») umgestellt. Neben ihrer Arbeit portraitiert der Film auch die Beschäftigten, ihre Hoffnungen und Befürchtungen bei der Umstellungen.",SGV_01F_00027,,,,Umbruch
2574885,SGV_01F_00026,,,"Schlumpf, Hans-Ulrich",Schweizerische Gesellschaft für Volkskunde (SGV),,1979,,,,53,Alpnach,http://sws.geonames.org/2661789,sgv.dir/images/dummymovie.mp4,SGV_01,dialekt,46.9402,8.27426,"16mm, farbig, Magnetton",,Filme,9810,,"Schlumpf, Hans-Ulrich","Corradi, Pio","Hugger, Paul",,,,"AH 46  Steinspalter und Steinrichter verarbeiten Felsblöcke aus Sandstein zu Pflastersteinen. Neben der Arbeit werden auch die Arbeiter Gildo Collet, Manuel da Silva und viele andere portraitiert. Der Film beleuchtet neben der sozialen und ökonomischen Situation der portraitierten Arbeiter auch die Geschichte des Steinbruchs.",SGV_01F_00026,AH 46,,,Guber – Arbeit im Stein
2574891,SGV_01F_00023,,,Schweizerische Gesellschaft für Volkskunde (SGV),Kanton Basel-Landschaft,,1973,,,,40,Reigoldswil,http://sws.geonames.org/2659077,sgv.dir/images/dummymovie.mp4,SGV_01,dialekt,47.39824,7.68718,"16mm, schwarz/weiss und farbig, Magnetton",,Filme,9806,,"Yersin, Yves","Winiger, Eduard","Suter, Paul",,,,"AH 43 Der Film zeigt das Einrichten und Bedienen eines Seidenbandwebstuhls im Baselbiet und porträtiert die HeimposamenterInnen Emmy Buser, Emma Grieder-Buser, Martha und Wilhelm Buser-Grieder, Ernst Walliser und den Visiteur August Schmidt.",SGV_01F_00023,AH 43: Heimposamenterei,,,Heimposamenterei (Kurzfassung) 
2574890,SGV_01F_00024,,,Schweizerische Gesellschaft für Volkskunde (SGV),Kanton Basel-Landschaft,,1974,,,,107,Reigoldswil,http://sws.geonames.org/2659077,sgv.dir/images/dummymovie.mp4,SGV_01,dialekt,47.39824,7.68718,"16mm, schwarz/weiss und farbig, Magnetton",,Filme,,,"Yersin, Yves","Winiger, Eduard","Suter, Paul","Ewald, Jürg","Hugger, Paul","Suter, Peter",,SGV_01F_00024,AH 43: Heimposamenterei,,,Die letzten Heimposamenter
2574887,SGV_01F_00025,,,Schweizerische Gesellschaft für Volkskunde (SGV),Groupe de Tannen,Société d'histoire et d'archéologie du canton de Neuchâtel (SHAN),1974,,,,60,Canton of Vaud,http://sws.geonames.org/2658182,sgv.dir/images/dummymovie.mp4,SGV_01,französisch,46.61671,6.64496,"16mm, schwarz/weiss, Magnetton",,Filme,9833,,"Bridler, Daniel",Groupe de Tannen,"Jelmini, Jean-Pierre",,,,"AH 61; AH 61a Der Film beschreibt den manuellen Abbau von Asphalt im Val de Travers, vom Sprengen bis zum Giessen, sowie die Situation der Minenarbeiter.",SGV_01F_00025,AH 61,,,Les mineurs de la Presta
2574893,SGV_01F_00022,,,Schweizerische Gesellschaft für Volkskunde (SGV),"Champion, Claude",,1971,,,,55,Vaulion,http://sws.geonames.org/2658179,sgv.dir/images/dummymovie.mp4,SGV_01,französisch,46.68913,6.38941,"16mm, schwarz/weiss, Magnetton",,Filme,9802,,"Champion, Claude","Rossier, Henri","Hugger, Paul","Hainard, Jacques",,,"AH 29 Der Müller Louis Develey mahlt in einer mit Wasser betriebenen Mühle Getreide und schärft die Mahlsteine. Sein Metier führt er für den Film noch einmal vor, er arbeitete bei den Dreharbeiten bereits als Bankangestellter.",SGV_01F_00022,AH 29: La moulin Develey sis à la Quielle,,,Le moulin Develey sis à la Quielle
2574895,SGV_01F_00021,,Schweizerische Gesellschaft für Volkskunde (SGV),,,,1967,,,,31,La Sarraz,http://sws.geonames.org/2660012,sgv.dir/images/dummymovie.mp4,SGV_01,französisch,46.65863,6.51077,"16mm, schwarz/weiss, stumm",,Filme,9028,,"Yersin, Yves","Berta, Renato","Fonjallaz, Madeleine",,,,AH 19 Im Verfahren der Altgrubengerbung wird Leder gegerbt. Zwischentitel bennen und erläutern die von Renato Berta meisterlich ins Bild gesetzten Abläufe.,SGV_01F_00021,AH 19: La tannerie de la Sarraz,,,La tannerie de la Sarraz
2574896,SGV_01F_00020,,Schweizerische Gesellschaft für Volkskunde (SGV),,,,1966,,,,13,Sevelen,http://sws.geonames.org/2658613,sgv.dir/images/dummymovie.mp4,SGV_01,--,47.12213,9.48601,"16mm, schwarz/weiss, stumm",,Filme,9014,,"Wachter, Walter","Yersin, Yves","Hugger, Paul",,,,AH 9 Hans Giger und seine Geselle beim Schmieden von Hufeisen (Stempel- und Locheisen) und beim Beschlagen eines Pferdes.,SGV_01F_00020,AH 09: Von Hufeisen und Hufbeschlag,,,Von Hufeisen und Hufbeschlag
2574897,SGV_01F_00019,,Schweizerische Gesellschaft für Volkskunde (SGV),,,,1966,,,,27,La Sarraz,http://sws.geonames.org/2660012,sgv.dir/images/dummymovie.mp4,SGV_01,französisch,46.65863,6.51077,"16mm, schwarz/weiss, stumm",,Filme,9035,,"Yersin, Yves","Huppert, Erwin","Fonjallaz, Madeleine","Hugger, Paul",,,AH 10 Die Brüder Frank und Réal Albertano stellen Gussformen aus Sand her und giessen bronzene Kuhglocken. Die nicht sichtbaren Vorgänge sind durch Animationen illustriert.,SGV_01F_00019,AH 10: Les cloches de vaches,,,Les cloches de vaches
2574899,SGV_01F_00018,,,Schweizerische Gesellschaft für Volkskunde (SGV),Schweizer Fernsehen (SF),,1965,,,,17,Buchs,http://sws.geonames.org/2661349,sgv.dir/images/dummymovie.mp4,SGV_01,,47.16743,9.47794,"16mm, schwarz/weiss, stumm",,Filme,9029,,"Gyr, Wysel","Bombacher, Urs","Hugger, Paul","Blickenstorfer, Valery",,,AH 1 Der Messerschmied Michel Schwendener fertigt Tischmesser mit Horngriff an. Er ist in seinem Laden wie in der frei stehenden Werkstatt – deren Scheifsteine und Hämmer wassergetrieben sind – zu sehen,SGV_01F_00018,AH 01: Ein Messer wird geschmiedet,,,Ein Messer wird geschmiedet
2574907,SGV_01F_00016,,Schweizerische Gesellschaft für Volkskunde (SGV),,,,,1940,1960,,20,Region Surselva,http://sws.geonames.org/11611648,sgv.dir/images/dummymovie.mp4,SGV_01,deutsch,46.69564,9.04834,"16mm, schwarz/weiss, stumm",,Filme,9024,"Maissen, Flurin",,,,,,,AH 52 Sieben Strahler legen auf fünf Strahlgängen im Bündner Oberland Klüfte frei und lösen Kristalle heraus.,SGV_01F_00016,AH 52,,,Die Kristallsucher und ihre Arbeit
2574908,SGV_01F_00015,,Schweizerische Gesellschaft für Volkskunde (SGV),,,,,1940,1949,,22 (15),Hinterrhein,http://sws.geonames.org/2660341,sgv.dir/images/dummymovie.mp4,SGV_01,deutsch,46.53333,9.2,"16mm, schwarz/weiss, stumm",,Filme,9048,,"Dietrich, Hermann","Lorez, Christian",,,,,"AH 47 Die sogenannten Blacken (Alpen-Ampfern) dienen als Schweinefutter. Zu diesem Zweck werden die ausgerissenen Stengel zu Garben gebunden und mit kochendem Wasser überbrüht. Die Masse liegt im «Masshaus», wo sie ähnlich wie Grassilo gärt. Zum Verfüttern sticht man kompakte Blöcke heraus und rührt sie mit Wasser an.",SGV_01F_00015,AH 47,,,Blackenernte 
2574913,SGV_01F_00014,,Schweizerische Gesellschaft für Volkskunde (SGV),,,,,1948,1949,,62 (42),Schiers,http://sws.geonames.org/2658738,sgv.dir/images/dummymovie.mp4,SGV_01,,46.96973,9.6872,"16mm, schwarz/weiss, stumm",,Filme,9000,,"Dietrich, Hermann","Schmitter, Werner","Conzett, Silvia",,,,"AH 36a Der Film zeigt das Fällen, Entasten, Zersägen, Riesen und Flössen («Triften») von Holz und den Wintertransport mit Fuhrschlitten. Die Kurzfassung von Silvia Conzett entstand 1991",SGV_01F_00014,,,,Waldarbeit im Prättigau (Kurzfassung) 
2574916,SGV_01F_00013,,Schweizerische Gesellschaft für Volkskunde (SGV),,,,1949,,,,30 (21),Valzeina,http://sws.geonames.org/2658189,sgv.dir/images/dummymovie.mp4,SGV_01,,46.9502,9.60268,"16mm, schwarz/weiss, stumm",,Filme,9005,,"Dietrich, Hermann","Schmitter, Werner",,,,,AH 36 a Der Film zeigt den winterlichen Holztransport mit Fuhrschlitten im Valzeinertobel und die Lagerung des Holzes.,SGV_01F_00013,"AH 36a: Waldarbeit im Prättigau: V, Winterarbeit in Valzeina",,,Waldarbeit im Prättigau V: (Winterarbeit in Valzeina) 
2574920,SGV_01F_00012,,Schweizerische Gesellschaft für Volkskunde (SGV),,,,1949,,,,22 (15),Furna,http://sws.geonames.org/2660694,sgv.dir/images/dummymovie.mp4,SGV_01,,46.93694,9.67874,"16mm, schwarz/weiss, stumm",,Filme,9004,,"Dietrich, Hermann","Schmitter, Werner",,,,,AH 36 a Der Film zeigt den winterlichen Holztransport mit Hilfe einer Seilbahn und mit Pferden und Fuhrschlitten über Schlittwege im Furnatobel.,SGV_01F_00012,"AH 36a: Waldarbeit im Prättigau: IV, Winterarbeit im Furnatobel",,,Waldarbeit im Prättigau IV: (Winterarbeit im Furnatobel)
2574921,SGV_01F_00011,,Schweizerische Gesellschaft für Volkskunde (SGV),,,,1949,,,,32 (22),Schiers,http://sws.geonames.org/2658738,sgv.dir/images/dummymovie.mp4,SGV_01,,46.96973,9.6872,"16mm, schwarz/weiss, stumm",,Filme,9003,,"Dietrich, Hermann","Schmitter, Werner",,,,,AH 36 a Der Film zeigt das Flössen (Triften) des Holzes im Schraubachtobel während der Schneeschmelze und das Länden im Tal.,SGV_01F_00011,"AH 36a: Waldarbeit im Prättigau: III, Flössen",,,Waldarbeit im Prättigau III: (Flössen) 
2574922,SGV_01F_00010,,Schweizerische Gesellschaft für Volkskunde (SGV),,,,1949,,,,19 (13),Schiers,http://sws.geonames.org/2658738,sgv.dir/images/dummymovie.mp4,SGV_01,,46.96973,9.6872,"16mm, schwarz/weiss, stumm",,Filme,9002,,"Dietrich, Hermann","Schmitter, Werner",,,,,AH 36 a Der Film zeigt das Rutschen der Holzburren über die hölzernen Gleitbahnen bis zum Einwurf in den Schraubach.,SGV_01F_00010,"AH 36a: Waldarbeit im Prättigau: II, Holzeinwurf",,,Waldarbeit im Prättigau II: (Holzeinwurf)
2574923,SGV_01F_00009,,Schweizerische Gesellschaft für Volkskunde (SGV),,,,1948,,,,22 (15),Schiers,http://sws.geonames.org/2658738,sgv.dir/images/dummymovie.mp4,SGV_01,,46.96973,9.6872,"16mm, schwarz/weiss, stumm",,Filme,9001,,"Dietrich, Hermann","Schmitter, Werner",,,,,"AH 36 a Der Film zeigt das Fällen, Entasten, Zersägen, Entrinden, Riesen und Stapeln des Holzes und im zweiten Teil das Flössen der Stämme.",SGV_01F_00009,"AH 36a: Waldarbeit im Prättigau: I, Zurüsten",,,Waldarbeit im Prättigau I (Zurüsten) 
2574924,SGV_01F_00008,,Schweizerische Gesellschaft für Volkskunde (SGV),,,,1945,,,,20,Hinterrhein,http://sws.geonames.org/2660341,sgv.dir/images/dummymovie.mp4,SGV_01,deutsch,46.53333,9.2,"16mm, schwarz/weiss, stumm",,Filme,9027,,"Dietrich, Hermann","Lorez, Christian",,,,,AH 44; AH 45 Das im Sommer als Heuhaufen («Triste») gelagerte Wildheu wird im Winter ins Tal hinunter transportiert.,SGV_01F_00008,,AH 44,AH 45,Die winterliche Heimschaffung des Wildheus
2574925,SGV_01F_00006,,Schweizerische Gesellschaft für Volkskunde (SGV),,,,1945,,,,16 (11),Hinterrhein,http://sws.geonames.org/2660341,sgv.dir/images/dummymovie.mp4,SGV_01,,46.53333,9.2,"16mm, schwarz/weiss, stumm",,Filme,9834,,"Dietrich, Hermann","Lorez, Christian",,,,,AH 45 Der Film zeigt den winterlichen Heimtransport des Bergheus im Rheinwald von den hochgelegenen Ställen ins Tal hinunter.,SGV_01F_00006,AH 45,,,Der Heuzug
2574926,SGV_01F_00007,,Schweizerische Gesellschaft für Volkskunde (SGV),,,,1945,,,,18 (12),Hinterrhein,http://sws.geonames.org/2660341,sgv.dir/images/dummymovie.mp4,SGV_01,,46.53333,9.2,"16mm, schwarz/weiss, stumm",,Filme,9026,,"Dietrich, Hermann","Lorez, Christian",,,,,AH 44 Der Film zeigt den sommerlichen Wildheuet in Hinterrhein vom Mähen bis zum Aufbau eines Heuhaufens («Triste»).,SGV_01F_00007,AH 44,,,Wildheuet am Mittaghorn
2574927,SGV_01F_00005,,Schweizerische Gesellschaft für Volkskunde (SGV),,,,1945,,,,21 (14),Hinterrhein,http://sws.geonames.org/2660341,sgv.dir/images/dummymovie.mp4,SGV_01,deutsch,46.53333,9.2,"16mm, schwarz/weiss, stumm",,Filme,9049/9510,,"Dietrich, Hermann","Lorez, Christian",,,,,"AH 48 Sechs Frauen bei der gemeinsamen Wäsche auf dem Dorfplatz: Abdichtung der Holzgefässe, Einweichen der Wäsche, Einseifen, Spülen in heissem und kaltem Wasser. Beim «Buuchen» wird die Wäsche mehrere Male in Aschenlauge eingeweicht.",SGV_01F_00005,"AH 48: Die ""Buuchi"", die grosse Wäsche in Hinterrhein",,,"Die «Buuchi», die grosse Wäsche in Hinterrhein"
2574928,SGV_01F_00004,,Schweizerische Gesellschaft für Volkskunde (SGV),,,,1943,,,,29 (20),Breíl,http://sws.geonames.org/2661414,sgv.dir/images/dummymovie.mp4,SGV_01,deutsch,46.76986,9.06036,"16mm, schwarz/weiss, stumm",,Filme,9042,,"Schocher, Bartholomé","Maissen, Alfons",,,,,"AH 67 Der Küfer Toni Cahanas küfert einen Holzeimer, bringt runde und flache Reifen und einen Henkel an.",SGV_01F_00004,AH 67,,,Herstellen eines Holzeimers
2574929,SGV_01F_00003,,Schweizerische Gesellschaft für Volkskunde (SGV),,,,1942,,,,6 (4),Dardin,http://sws.geonames.org/7670134,sgv.dir/images/dummymovie.mp4,SGV_01,deutsch,46.75914,9.04847,"16mm, schwarz/weiss, stumm",,Filme,9511,,"Schocher, Bartholomé","Maissen, Alfons",,,,,"AH 64 Herstellung eines Lederseils («Tretsche»), vom Zuschneiden der Lederriemen bis zum Flechten.",SGV_01F_00003,AH 64,,,Der Tretschenmacher
2574930,SGV_01F_00002,,Schweizerische Gesellschaft für Volkskunde (SGV),,,,1942,,,,7 (5),Axenstein,http://sws.geonames.org/2661656,sgv.dir/images/dummymovie.mp4,SGV_01,deutsch,46.98517,8.61294,"16mm, schwarz/weiss, stumm",,Filme,9503,,"Schocher, Bartholomé","Maissen, Alfons",,,,,AH 65 Caspar Schwarz beim Flechten eines Kartoffelkorbes aus Haselruten.,SGV_01F_00002,AH 65,,,Der Korbmacher
2574931,SGV_01F_00001,,Schweizerische Gesellschaft für Volkskunde (SGV),,,,1942,,,,11 (7),Dardin,http://sws.geonames.org/7670134,sgv.dir/images/dummymovie.mp4,SGV_01,,46.75914,9.04847,"16mm, schwarz/weiss, stumm",,Filme,9508,,"Schocher, Bartholomé","Maissen, Alfons",,,,,"AH 63 Eine Gruppe von Bäuerinnen backt Brot in einem Dorfbackofen: Zubereitung des Teiges, Formen der Brote, Einfeuern und Backen.",SGV_01F_00001,AH 63,,,Bäuerliches Brotbacken
2575210,SGV_01F_00029,"Schlumpf, Hans-Ulrich",,Schweizerische Gesellschaft für Volkskunde (SGV),"Schärer, Thomas","Saini, Pierrine",2009-09-16,,,,258,Zurich,http://sws.geonames.org/2657896,sgv.dir/images/dummymovie.mp4,SGV_01,dialekt,47.36667,8.55,"HDV, farbig",5 Kassetten,Filme,,,"Schärer, Thomas","Saini, Pierrine","Grunder, Rahel","Zwicki, Alexandra",,,"Besprochene Filme (online-zugänglich): Kurzfilmserie Waldarbeit im Prättigau: Kapitel 9; Guber – Arbeit im Stein: Kapitel 10, 11, 12,12, 14, 15, 16, 17, 18, 40; Umbruch: Kapitel 27, 28, 29, 30, 31, 32, 33, 34 37, 39, 41, 42",SGV_01F_00029,"Interview zur SGV-Filmreihe ""Altes und sterbendes Handwerk""",,,Interview mit Hans-Ulrich Schlumpf
2575211,SGV_01F_00030,"Champion, Claude",,Schweizerische Gesellschaft für Volkskunde (SGV),"Saini, Pierrine",,2009-09-17,,,,255,Lausanne,http://sws.geonames.org/2659994,sgv.dir/images/dummymovie.mp4,SGV_01,französisch,46.516,6.63282,"HDV, farbig",5 Kassetten,Filme,,,"Saini, Pierrine","Grunder, Rahel",,,,,"Besprochene Filme (online-zugänglich): Le Moulin Develey sis é la Quielle: Kapitel 1,  23, 24, 25, 36, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54",SGV_01F_00030,"Interview zur SGV-Filmreihe ""Altes und sterbendes Handwerk""",,,Interview mit Claude Champion
2575212,SGV_01F_00031,"Yersin, Yves",,Schweizerische Gesellschaft für Volkskunde (SGV),"Schärer, Thomas","Saini, Pierrine",2009-09-21,,,,209,Yverdon-les-Bains,http://sws.geonames.org/2657941,sgv.dir/images/dummymovie.mp4,SGV_01,französisch,46.77852,6.64115,"Digital (XDCAM), farbig",,Filme,,,"Schärer, Thomas","Saini, Pierrine","Ulmann, Roni",,,,"Besprochene Filme (online-zugänglich): Von Hufeisen und Hufbeschlag: Kapitel 2, 14; Les cloches de vaches: Kapitel 6, 16, 17, 18, 20; La Tannerie de la Sarraz: Kapitel 12, 13, 22, 23, 24; Heimposamenterei: Kapitel 34, 35; Die letzten Heimposamenter: Kapitel 34, 35, 36, 37",SGV_01F_00031,"Interview zur SGV-Filmreihe ""Altes und sterbendes Handwerk""",,,Interview mit Yves Yersin
2575213,SGV_01F_00032,"Brutsch, Jean-Luc",,Schweizerische Gesellschaft für Volkskunde (SGV),"Schärer, Thomas","Saini, Pierrine",2011-02-08,,,,130,Geneva,http://sws.geonames.org/2660646,sgv.dir/images/dummymovie.mp4,SGV_01,französisch,46.20222,6.14569,"Digital (XDCAM), farbig",,Filme,,,"Schärer, Thomas","Saini, Pierrine","Ulmann, Roni",,,,"Besprochene Filme (online-zugänglich): Les Mineurs de la Presta: Kapitel 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37",SGV_01F_00032,"Interview zur SGV-Filmreihe ""Altes und sterbendes Handwerk""",,,Interview mit Jean-Luc Brutsch
2575214,SGV_01F_00033,"Hugger, Paul",,Schweizerische Gesellschaft für Volkskunde (SGV),"Schärer, Thomas","Saini, Pierrine",2011-05-24,,,,135,Chardonne,http://sws.geonames.org/2661214,sgv.dir/images/dummymovie.mp4,SGV_01,dialekt,46.47676,6.8268,"Digital (XDCAM), farbig",,Filme,,,"Schärer, Thomas","Saini, Pierrine","Ulmann, Roni","Oertli, Helen",,,"Besprochene Filme (online-zugänglich): Beim Holzschuhmacher: Kapitel 4, 5, 6, 7; Ein Messer wird geschmiedet: Kapitel 10, 11, 12, 15; Hufeisen und Hufbeschlag: Kapitel 13, 14; Les cloches de vaches. Kapitel 17, 18; La Tannerie de la Sarraz: 19, 20;  Le moulin Develey sis à la Quielle: 25",SGV_01F_00033,"Interview zur SGV-Filmreihe ""Altes und sterbendes Handwerk""",,,Interview mit Paul Hugger II
2575215,SGV_01F_00034,"Wachter, Walter",,Schweizerische Gesellschaft für Volkskunde (SGV),"Schärer, Thomas",,2011-06-17,,,,183,Schaan,http://sws.geonames.org/3042041,sgv.dir/images/dummymovie.mp4,SGV_01,dialekt,47.16498,9.50867,"Digital (XDCAM), farbig",,Filme,,,"Schärer, Thomas","Ulmann, Roni","Schleiffenbaum, Lea",,,,"Besprochene Filme (online-zugänglich): Von Hufeisen und Hufbeschlag: Kapitel 11, 12, 27, 28, 29, 30",SGV_01F_00034,"Interview zur SGV-Filmreihe ""Altes und sterbendes Handwerk""",,,Interview mit Walter Wachter
